epoch,lr,loss_total,loss_x,loss_s,loss_b,loss_tan,loss_c,loss_aff,loss_edge,gate_mean,affinity_proj_unfrozen,mask_ratio,mIoU,mIoU_ema,iou_background,iou_cystic_plate,iou_calot_triangle,iou_cystic_artery,iou_cystic_duct,iou_gallbladder,iou_tool,iou_background_ema,iou_cystic_plate_ema,iou_calot_triangle_ema,iou_cystic_artery_ema,iou_cystic_duct_ema,iou_gallbladder_ema,iou_tool_ema,keep_ratio_head,keep_ratio_body,keep_ratio_tail,keep_ratio_background,keep_ratio_cystic_plate,keep_ratio_calot_triangle,keep_ratio_cystic_artery,keep_ratio_cystic_duct,keep_ratio_gallbladder,keep_ratio_tool,pseudo_kept_background,pseudo_kept_cystic_plate,pseudo_kept_calot_triangle,pseudo_kept_cystic_artery,pseudo_kept_cystic_duct,pseudo_kept_gallbladder,pseudo_kept_tool,pseudo_total_background,pseudo_total_cystic_plate,pseudo_total_calot_triangle,pseudo_total_cystic_artery,pseudo_total_cystic_duct,pseudo_total_gallbladder,pseudo_total_tool
41,0.000026,0.051929,0.053918,0.049940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.809508,45.444599,45.805003,93.319712,6.757287,11.505429,2.435874,37.020811,81.219242,85.853838,93.146545,10.531145,13.664702,1.410940,36.580345,80.060524,85.240820,0.827761,0.210445,0.011421,0.862054,0.185777,0.011421,0.111219,0.240798,0.745059,0.824530,38656689,100201,1032,28761,309121,13649592,5777396,44842562,539363,90360,258599,1283735,18320154,7006898
42,0.000025,0.051084,0.055545,0.046624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.818335,47.771453,45.905734,93.539391,12.917885,19.199150,6.199510,35.420672,80.953171,86.170393,93.176062,10.533262,13.925406,1.506772,36.712292,80.130811,85.355535,0.835817,0.211340,0.083262,0.870744,0.112237,0.083262,0.171864,0.255967,0.750561,0.829761,39779196,47596,6300,52625,310385,13684640,5642321,45684140,424067,75665,306201,1212597,18232555,6799936
43,0.000024,0.049770,0.054233,0.045308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.813199,47.867937,46.057485,93.198599,7.363481,27.840000,1.775119,38.758155,79.560536,86.579669,93.202609,10.802667,14.311474,1.623946,36.830719,80.170916,85.460063,0.832473,0.234299,0.048357,0.864747,0.199450,0.048357,0.155251,0.261390,0.762641,0.827194,37605216,98548,3862,45503,389686,14937821,5599625,43486937,494100,79865,293094,1490823,19586960,6769419
44,0.000024,0.053334,0.056771,0.049897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.808572,48.399964,46.220664,93.458562,13.315746,24.868377,1.575516,38.183106,80.943012,86.455426,93.239216,10.924276,14.843228,1.750323,36.988352,80.243713,85.555543,0.827899,0.234312,0.053294,0.861284,0.203269,0.053294,0.169648,0.261020,0.756386,0.822606,37882152,122320,5362,47788,360575,15149039,5612441,43983326,601764,100611,281689,1381407,20028195,6822758
45,0.000023,0.053176,0.055109,0.051244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.815512,47.342036,46.343014,93.273438,8.717028,19.190028,4.805610,38.621770,80.066991,86.719389,93.277337,10.972631,15.224203,1.813345,37.121355,80.332812,85.659418,0.835094,0.256056,0.085345,0.872188,0.177376,0.085345,0.192660,0.293637,0.748642,0.832861,39837765,95085,8455,53414,466893,14534621,5923343,45675671,536066,99069,277245,1590034,19414642,7112045
46,0.000023,0.052800,0.055136,0.050465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.818105,45.853905,46.423509,93.257934,6.594220,13.602270,3.229451,38.514120,80.762237,85.017103,93.301308,10.765678,15.624188,1.945819,37.230154,80.377814,85.719605,0.838572,0.250935,0.061504,0.871120,0.153181,0.061504,0.213496,0.294722,0.752951,0.845816,40034728,83755,7481,73206,446170,13645612,6524168,45957753,546773,121635,342891,1513866,18122842,7713457
47,0.000022,0.052052,0.058747,0.045357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.825086,46.973982,46.508068,93.431749,6.653598,23.202507,1.235130,38.101864,80.623615,85.569412,93.329389,10.690373,16.005810,1.953346,37.362302,80.434465,85.780789,0.844150,0.276561,0.096135,0.878539,0.261209,0.096135,0.197760,0.303455,0.759500,0.832995,39937778,150739,9585,73257,429341,13293990,6095149,45459286,577083,99704,370434,1414843,17503610,7317152
48,0.000021,0.052295,0.055332,0.049257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.822252,48.381469,46.665238,93.438633,14.113011,22.330179,4.316284,38.791941,80.046485,85.633751,93.374088,10.794168,16.506330,2.044607,37.579243,80.531162,85.827066,0.841630,0.282954,0.111645,0.878862,0.234905,0.111645,0.232715,0.311956,0.762852,0.825618,39459560,134960,14600,75475,472211,15127180,5645912,44898462,574531,130772,324324,1513710,19829774,6838403
49,0.000021,0.050700,0.054518,0.046882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.830405,48.428188,46.769921,93.584619,13.166166,26.111483,3.125000,36.271498,80.692854,86.045699,93.392371,10.814812,16.886314,2.107022,37.780708,80.547611,85.860613,0.849212,0.275994,0.063616,0.884792,0.190459,0.063616,0.177786,0.323484,0.775384,0.825622,39482753,97529,5937,48235,479841,15053560,5403602,44623748,512074,93325,271309,1483355,19414321,6544886
50,0.000020,0.047190,0.052719,0.041660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.835361,47.855811,46.883866,93.453458,13.338691,17.904687,5.745000,37.102576,81.407904,86.038361,93.413721,11.040832,17.268305,2.124272,37.828863,80.597086,85.913982,0.854406,0.280903,0.086544,0.889405,0.238149,0.086544,0.232225,0.308702,0.772049,0.833303,40359258,133402,7516,74104,438439,13664884,5153442,45377809,560163,86846,319104,1420265,17699499,6184359
51,0.000019,0.054798,0.055163,0.054434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.846802,46.501472,46.992883,93.366724,8.891838,17.284059,1.059139,37.240874,81.617627,86.050041,93.431384,11.074766,17.808070,2.187137,37.845186,80.641107,85.962535,0.864432,0.313654,0.104215,0.898481,0.256837,0.104215,0.280349,0.340197,0.785400,0.832931,40619522,119136,10713,79401,458675,13090816,5871813,45209090,463858,102797,283222,1348263,16667703,7049583
52,0.000019,0.052652,0.052795,0.052509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.829934,47.888787,47.035813,93.642075,14.043630,18.529489,1.391313,40.502525,80.587208,86.525268,93.441471,11.063609,18.012910,2.176544,37.881629,80.666319,86.008206,0.850189,0.295714,0.128575,0.884384,0.243079,0.128575,0.277164,0.320401,0.778495,0.830094,38948865,142271,16792,94512,481936,14989642,5185268,44040663,585288,130601,340997,1504167,19254638,6246606
53,0.000018,0.052988,0.053638,0.052338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.838721,48.667051,47.126564,93.414906,14.559365,24.436451,4.510709,37.427249,80.008656,86.312021,93.459195,11.219251,18.250436,2.213178,38.008588,80.685087,86.050216,0.856196,0.317735,0.110852,0.886991,0.284662,0.110852,0.262168,0.345277,0.789352,0.836109,39717655,153910,10504,84496,448688,14706632,5557747,44777956,540677,94757,322297,1299500,18631274,6647160
54,0.000018,0.052401,0.051539,0.053262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.837169,46.472654,47.172141,93.573122,4.737047,18.940231,2.520982,38.313833,80.942859,86.280507,93.469806,11.199682,18.459487,2.202841,38.078355,80.686032,86.108787,0.857535,0.301465,0.100316,0.889199,0.296020,0.100316,0.228108,0.321457,0.779888,0.846575,40751024,197921,9305,83019,487831,13855283,5534318,45828916,668606,92757,363946,1517562,17765730,6537303
55,0.000017,0.051229,0.051183,0.051275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.844721,48.175443,47.247452,93.652538,8.832333,25.919860,3.992676,37.030092,81.884617,85.915987,93.498722,11.083334,18.777026,2.286577,38.159173,80.758025,86.169309,0.864274,0.338085,0.137411,0.898971,0.338172,0.137411,0.258094,0.354855,0.780459,0.849330,41392308,225812,22259,82975,542939,13953348,5632264,46044094,667744,161989,321491,1530031,17878389,6631417
56,0.000016,0.048718,0.048891,0.048545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.844988,48.107790,47.344446,93.821635,12.369375,22.254105,2.896079,37.552359,81.383836,86.477138,93.528775,11.138418,19.160512,2.324631,38.213917,80.822431,86.222438,0.862968,0.323564,0.179044,0.894884,0.361579,0.179044,0.221554,0.327238,0.793807,0.851573,39549432,228155,15492,63308,459818,15292702,5841332,44195018,630996,86526,285745,1405149,19265001,6859463
57,0.000016,0.048720,0.044766,0.052675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.841951,47.201082,47.438378,93.589445,7.263378,20.888204,3.464794,37.464718,81.089080,86.647955,93.565736,11.193032,19.455898,2.433793,38.236358,80.903304,86.280521,0.862839,0.339661,0.146608,0.891672,0.332454,0.146608,0.316625,0.349134,0.798049,0.847778,40049997,253452,20569,123041,532493,14751306,5488532,44915593,762368,140299,388602,1525184,18484207,6474018
58,0.000015,0.049022,0.045811,0.052233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.847070,48.998110,47.501305,93.616169,11.058749,29.552674,4.079606,37.372133,80.934335,86.373103,93.578185,11.050768,19.841218,2.544595,38.217928,80.938554,86.337887,0.867087,0.333664,0.200018,0.899754,0.247246,0.200018,0.290127,0.374495,0.788360,0.852626,41317143,145310,26480,100017,603479,13986611,6093067,45920480,587714,132388,344735,1611446,17741393,7146236
59,0.000014,0.050717,0.049291,0.052143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.852825,48.733895,47.647842,93.588085,12.693672,26.727572,2.391704,38.238727,80.566770,86.930731,93.591324,11.028314,20.682976,2.585017,38.291673,80.955054,86.400534,0.871388,0.349491,0.189603,0.905542,0.271537,0.189603,0.320320,0.394520,0.787278,0.851876,42141614,175171,27486,119817,536190,13681193,5580670,46537429,645108,144966,374054,1359093,17377845,6551039
60,0.000014,0.046719,0.047190,0.046248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.855024,48.007622,47.760822,93.746735,8.099163,26.155220,2.241758,37.549278,81.855104,86.406098,93.607784,11.056045,21.261642,2.601010,38.338282,80.982530,86.478461,0.873539,0.373034,0.169461,0.905381,0.358318,0.169461,0.284629,0.397024,0.799049,0.853996,40928160,205754,24260,89590,600362,14065563,5602912,45205434,574222,143160,314761,1512157,17602873,6560816
61,0.000013,0.049643,0.047523,0.051762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.857098,46.999753,47.865510,93.792420,4.231284,21.612589,1.456954,39.727070,81.107936,87.070018,93.635793,11.076117,21.734592,2.566731,38.491993,81.034770,86.518575,0.876177,0.365528,0.148735,0.907338,0.380320,0.148735,0.250611,0.383548,0.797708,0.866425,42204401,256622,17300,83308,600655,14054372,5947841,46514527,674752,116314,332420,1566048,17618444,6864804
62,0.000012,0.049176,0.047252,0.051100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.855109,47.547577,47.969766,93.640899,7.425328,22.776541,3.571429,36.432704,81.892392,87.093746,93.656986,11.100444,22.198351,2.593461,38.596138,81.067168,86.575816,0.873890,0.357367,0.203769,0.903943,0.298125,0.203769,0.272533,0.400938,0.801969,0.858293,41312409,203436,24878,79809,600601,14072842,6131669,45702468,682384,122089,292842,1497988,17547869,7144030
63,0.000012,0.055121,0.050359,0.059884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.858646,47.486936,48.043639,93.326816,7.622146,23.788309,3.305840,37.398890,79.883430,87.083118,93.667311,11.232115,22.524918,2.579522,38.570487,81.084754,86.646363,0.877234,0.381847,0.220411,0.906041,0.328078,0.220411,0.303589,0.419903,0.811623,0.859685,40946328,204314,35288,99788,653277,14688841,5604424,45192567,622760,160101,328694,1555779,18098115,6519160
64,0.000011,0.051853,0.051387,0.052318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.855068,47.222211,48.104911,93.982754,7.774718,19.038098,1.774540,39.000401,81.775491,87.209478,93.709536,11.205608,22.634749,2.589112,38.706342,81.185467,86.703561,0.872763,0.386112,0.167852,0.905458,0.379378,0.167852,0.288654,0.408681,0.784994,0.854822,43822723,253025,19657,93548,653287,13084413,5691946,48398391,666947,117109,324083,1598527,16668173,6658631
65,0.000010,0.047828,0.045345,0.050311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.859780,46.667498,48.150832,93.606315,6.595796,19.242795,2.578323,36.488425,81.136082,87.024748,93.722364,11.295337,22.730993,2.592624,38.753273,81.214297,86.746937,0.877272,0.382041,0.283306,0.907512,0.357246,0.283306,0.279673,0.416732,0.808990,0.851072,41362384,205906,30059,97621,600912,14218541,5789381,45577763,576371,106101,349054,1441961,17575659,6802460
66,0.000010,0.047427,0.041534,0.053319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.865843,48.333139,48.180519,93.651382,9.262970,26.037946,2.234035,38.910027,81.411221,86.824395,93.730984,11.296826,22.852422,2.601190,38.761149,81.244517,86.776547,0.883253,0.381298,0.238666,0.911417,0.374765,0.238666,0.262450,0.405403,0.818509,0.866338,41156215,251565,25611,65651,573769,14553674,6176022,45156303,671260,107309,250147,1415306,17780707,7128883
67,0.000009,0.048536,0.043663,0.053410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.868229,48.539305,48.231933,93.699039,13.058103,23.778646,3.408732,38.062544,80.977359,86.790711,93.748869,11.256523,23.163431,2.616694,38.754676,81.290970,86.792368,0.885035,0.393497,0.190773,0.911897,0.405233,0.190773,0.288320,0.412543,0.825829,0.860726,41484218,252528,22011,94454,587909,14876495,5506421,45492219,623168,115378,327601,1425085,18014009,6397411
68,0.000008,0.050077,0.044784,0.055370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.867354,48.620794,48.287385,93.874480,11.061000,25.975720,3.009672,38.364504,81.141337,86.918848,93.760903,11.326336,23.361599,2.675683,38.752283,81.307276,86.827614,0.885963,0.380603,0.180644,0.913281,0.343368,0.180644,0.238174,0.426244,0.826801,0.866941,41367744,248028,24832,68519,633855,15438580,6046624,45295737,722338,137464,287685,1487072,18672674,6974666
69,0.000008,0.048777,0.043604,0.053951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.869950,48.131106,48.305809,93.875570,10.693359,22.339683,2.820030,38.385509,81.555555,87.248034,93.770268,11.364451,23.360481,2.698112,38.759250,81.334465,86.853633,0.887422,0.410145,0.213978,0.915903,0.410593,0.213978,0.327614,0.427307,0.823537,0.857158,42057436,311128,31329,98784,611136,14219965,5798830,45919118,757752,146412,301526,1430205,17266932,6765182
70,0.000007,0.044694,0.042102,0.047287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.871167,48.491423,48.355570,94.051860,10.208966,24.484841,2.826016,38.656662,82.101262,87.110351,93.782870,11.267542,23.678678,2.742084,38.768483,81.357538,86.891793,0.886570,0.399072,0.273885,0.916037,0.407249,0.273885,0.334759,0.408897,0.820945,0.856478,42288436,231625,36912,93851,556859,14406315,5939664,46164569,568755,134772,280354,1361856,17548455,6934985
71,0.000006,0.047007,0.041868,0.052145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.864581,48.493134,48.407801,93.956437,10.795823,24.588456,2.222257,38.762821,82.016933,87.109210,93.808901,11.290295,23.819715,2.752032,38.826086,81.425736,86.931839,0.882661,0.399134,0.244852,0.912861,0.385565,0.244852,0.296463,0.427862,0.813239,0.859504,42219790,274738,32319,99124,655247,14618511,5525429,46249958,712559,131994,334355,1531443,17975653,6428626
72,0.000006,0.047811,0.041250,0.054371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.871756,49.417814,48.510763,94.060606,12.373328,28.072872,2.785750,39.103356,82.360151,87.168638,93.823911,11.371768,24.301705,2.775443,38.875920,81.464435,86.962157,0.889416,0.432936,0.298993,0.916264,0.446539,0.298993,0.352456,0.444577,0.830509,0.865419,41513061,338437,47864,123185,680474,14954708,5614759,45306878,757911,160084,349505,1530609,18006680,6487906
73,0.000005,0.052346,0.043305,0.061388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.872288,49.260531,48.600320,93.998329,12.127544,26.790076,4.265265,38.208150,82.180234,87.254119,93.843801,11.582431,24.579925,2.795490,38.894044,81.517815,86.988732,0.890127,0.440093,0.276820,0.918998,0.414713,0.276820,0.368166,0.465937,0.824847,0.863073,42487087,277536,40646,134798,781030,14772852,5283784,46231977,669225,146832,366134,1676258,17909819,6122058
74,0.000004,0.046483,0.041127,0.051839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.865440,48.782011,48.655113,93.786513,12.606658,25.765038,2.393448,38.377179,81.415090,87.130154,93.848590,11.685515,24.839190,2.797595,38.857118,81.535735,87.022047,0.884480,0.404675,0.267196,0.914210,0.391444,0.267196,0.328031,0.428523,0.807482,0.872184,43373930,280141,47680,125163,695611,13950905,5690533,47444182,715661,178446,381559,1623275,17277056,6524461
75,0.000003,0.046036,0.041902,0.050170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.867174,49.216740,48.657036,93.862627,13.876193,27.233456,2.217605,38.660307,81.331215,87.335777,93.849680,11.687558,24.885816,2.749529,38.850252,81.533136,87.043280,0.885145,0.428564,0.231207,0.916109,0.385073,0.231207,0.300219,0.470580,0.808685,0.874692,41863615,259900,28017,95212,784642,14223812,5867323,45697176,674937,121177,317142,1667393,17588814,6707872
76,0.000003,0.046252,0.038942,0.053562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.871020,49.325010,48.724002,93.968042,13.863787,27.754800,2.093911,38.688932,81.664343,87.241258,93.860787,11.886025,25.135847,2.702391,38.858106,81.550898,87.073959,0.889705,0.411627,0.264201,0.916378,0.376880,0.264201,0.338074,0.446672,0.832421,0.865415,41875514,280864,37456,128726,687005,15401503,5664562,45696789,745235,141771,380763,1538054,18502060,6545483
77,0.000003,0.048869,0.039930,0.057809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.879326,49.289187,48.791296,94.048535,14.063862,26.468794,2.565624,38.589939,81.875827,87.411727,93.877660,12.114779,25.326927,2.675583,38.856221,81.586610,87.101291,0.897094,0.438112,0.295281,0.924783,0.456951,0.295281,0.335674,0.450145,0.824827,0.879131,44074270,383106,41417,111784,685262,13688057,5889183,47659058,838396,140263,333014,1522314,16595062,6698870
78,0.000003,0.045517,0.040235,0.050799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.873965,49.090231,48.826740,94.080260,12.581220,26.415569,2.267741,38.862870,82.088110,87.335846,93.893228,12.202268,25.435060,2.647713,38.860935,81.622814,87.125162,0.891065,0.404549,0.319239,0.919947,0.423199,0.319239,0.315977,0.415422,0.817160,0.877140,42945114,316344,54604,101095,550100,13835502,6108448,46682151,747506,171044,319944,1324196,16931199,6964055
79,0.000003,0.048159,0.041047,0.055271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.873214,48.930148,48.867638,93.952596,11.668584,26.588600,2.513004,38.613624,81.938125,87.236502,93.905969,12.258291,25.623251,2.618804,38.862801,81.660913,87.143435,0.890409,0.434024,0.269325,0.916375,0.419884,0.269325,0.334911,0.464744,0.823489,0.880137,42522051,303158,36803,115286,670584,13975154,5929651,46402449,722005,136649,344229,1442909,16970669,6737193
