epoch,lr,loss_total,loss_x,loss_s,loss_b,loss_tan,loss_c,loss_aff,loss_edge,gate_mean,affinity_proj_unfrozen,mask_ratio,mIoU,mIoU_ema,iou_background,iou_cystic_plate,iou_calot_triangle,iou_cystic_artery,iou_cystic_duct,iou_gallbladder,iou_tool,iou_background_ema,iou_cystic_plate_ema,iou_calot_triangle_ema,iou_cystic_artery_ema,iou_cystic_duct_ema,iou_gallbladder_ema,iou_tool_ema,keep_ratio_head,keep_ratio_body,keep_ratio_tail,keep_ratio_background,keep_ratio_cystic_plate,keep_ratio_calot_triangle,keep_ratio_cystic_artery,keep_ratio_cystic_duct,keep_ratio_gallbladder,keep_ratio_tool,pseudo_kept_background,pseudo_kept_cystic_plate,pseudo_kept_calot_triangle,pseudo_kept_cystic_artery,pseudo_kept_cystic_duct,pseudo_kept_gallbladder,pseudo_kept_tool,pseudo_total_background,pseudo_total_cystic_plate,pseudo_total_calot_triangle,pseudo_total_cystic_artery,pseudo_total_cystic_duct,pseudo_total_gallbladder,pseudo_total_tool
11,0.000043,0.085477,0.131065,0.039888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.698763,44.865823,40.142898,92.211588,7.856287,18.617307,0.372545,32.784547,78.725918,83.492566,91.609806,4.033727,0.095665,0.057587,26.474234,76.572480,82.156784,0.708244,0.000124,0.000000,0.762395,0.000000,0.000000,0.000000,0.000171,0.572464,0.698326,35397439,0,0,0,121,10315220,4757436,46429252,199847,4341,70052,707103,18018981,6812631
12,0.000043,0.082533,0.118026,0.047040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.703181,43.540174,40.432933,92.012263,4.442817,16.284328,0.238810,32.066701,76.143214,83.593088,91.709467,4.701993,0.275801,0.089356,27.025715,76.870382,82.357819,0.712270,0.000984,0.000000,0.768772,0.000000,0.000000,0.000000,0.001284,0.577198,0.705681,35500460,0,0,0,854,10960546,4737274,46178152,151961,7599,50590,665109,18989222,6713056
13,0.000042,0.083849,0.121332,0.046366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.703428,44.646192,40.740457,91.881135,7.497550,13.152944,5.670969,35.306874,76.399389,82.614483,91.811535,5.282436,0.529490,0.117097,27.793968,77.159474,82.489199,0.713461,0.000247,0.000000,0.772225,0.000000,0.000000,0.000000,0.000339,0.560126,0.715832,37038849,0,0,0,264,10356426,5005641,47963825,227472,17534,65301,777676,18489456,6992759
14,0.000042,0.078799,0.112365,0.045232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.706784,44.694407,41.060823,92.554447,4.338043,17.976461,2.111517,33.858903,78.342570,83.678909,91.896927,5.692302,0.874213,0.162196,28.777574,77.395096,82.627453,0.716463,0.001041,0.000000,0.771378,0.000000,0.000000,0.000000,0.001421,0.578985,0.706265,35849928,0,0,0,1008,10453813,4845508,46475152,207323,18975,51484,709335,18055427,6860754
15,0.000041,0.071073,0.100373,0.041772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.720430,42.219069,41.436927,92.625324,1.671525,3.546990,0.746319,33.279791,78.988646,84.674890,91.980870,6.132552,1.655946,0.184459,29.704635,77.654354,82.745675,0.729484,0.009260,0.000000,0.785441,0.000000,0.000000,0.000000,0.013291,0.591590,0.702200,37471396,0,0,0,8358,10704922,4487286,47707472,230594,10918,43110,628862,18095162,6390322
16,0.000040,0.078125,0.109322,0.046928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.715649,46.234855,41.870594,92.257476,15.003175,17.103519,4.809154,35.165614,75.918505,83.386540,92.085119,6.700816,2.790344,0.222016,30.542577,77.915562,82.837722,0.727698,0.011689,0.000000,0.778484,0.000000,0.000000,0.000984,0.018009,0.597375,0.734903,36600004,0,0,104,13761,11175977,5143225,47014430,316294,35936,105732,764115,18708463,6998506
17,0.000040,0.074197,0.111044,0.037350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.722469,42.828133,42.107974,92.315185,6.578225,9.085834,5.138383,23.603249,78.813248,84.262806,92.162634,6.695101,3.302947,0.237417,31.281596,78.157882,82.918239,0.734320,0.012061,0.000000,0.781076,0.006910,0.000000,0.000000,0.015720,0.616843,0.737673,35855710,2275,0,0,12599,11390855,5066671,45905539,329227,31271,102584,801460,18466372,6868448
18,0.000039,0.067546,0.098525,0.036567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.736530,45.340681,42.327591,92.756319,9.286417,22.981946,3.230264,25.646415,79.413010,84.070393,92.245621,6.828480,3.741013,0.269777,31.827362,78.379788,83.001093,0.749640,0.018763,0.000000,0.795082,0.000000,0.000000,0.000000,0.027277,0.647388,0.729233,36709531,0,0,0,22750,12438149,4770335,46170757,281062,45222,97403,834045,19212833,6541580
19,0.000039,0.066364,0.087177,0.045552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.731290,41.406072,42.453172,92.110887,3.333424,4.659506,0.726828,25.695155,79.136367,84.180339,92.297415,6.910621,3.857362,0.260701,32.234191,78.542270,83.069645,0.746110,0.029977,0.000000,0.796084,0.022250,0.000000,0.000000,0.036357,0.616499,0.750901,36612852,8707,0,0,35657,11093137,5303015,45991173,391331,46856,107888,980740,17993769,7062200
20,0.000038,0.063802,0.092014,0.035591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.748372,43.360413,42.599292,92.655554,0.273652,11.054246,0.937046,36.161801,78.507722,83.932871,92.362361,6.839868,4.232005,0.253839,32.723395,78.684721,83.098857,0.762988,0.025563,0.000000,0.809093,0.031502,0.000000,0.002701,0.026936,0.648997,0.762616,37574748,12215,0,414,23572,12175405,5306328,46440602,387751,48197,153281,875117,18760334,6958056
21,0.000037,0.063034,0.083345,0.042723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.748577,44.603467,42.802846,92.521150,7.793843,16.695363,3.296474,29.727714,77.219938,84.969786,92.400129,6.797389,5.139966,0.313217,33.037183,78.774030,83.158009,0.762342,0.030464,0.000000,0.806909,0.014576,0.000000,0.032720,0.036267,0.644097,0.769558,37305092,4607,0,3691,29795,11503810,5489907,46232079,316058,30653,112806,821547,17860357,7133843
22,0.000037,0.056586,0.077087,0.036085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.746843,43.731331,43.103205,92.747849,4.452575,8.872408,2.263066,33.691501,80.217215,83.874706,92.458683,6.967035,6.492441,0.457681,33.241161,78.878835,83.226602,0.761882,0.033955,0.000000,0.802686,0.009233,0.000000,0.021326,0.044780,0.657984,0.765784,37047384,3144,0,3212,42695,12102330,5446417,46154277,340517,45443,150611,953442,18393059,7112207
23,0.000036,0.066305,0.089179,0.043432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.741066,43.464354,43.375661,92.731887,0.821182,10.425916,3.108368,33.651959,78.639054,84.872110,92.501172,7.047677,7.493311,0.577795,33.724327,78.969372,83.315973,0.754944,0.039577,0.000000,0.800476,0.011882,0.000000,0.001404,0.055033,0.640349,0.749521,37160902,3864,0,184,49877,11601848,5184673,46423521,325211,37937,131028,906303,18117995,6917314
24,0.000036,0.058905,0.081000,0.036811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.757362,45.166817,43.603275,92.638236,10.703120,13.124883,1.031212,34.887792,79.347241,84.435234,92.556767,7.179108,8.271597,0.647337,34.083511,79.062866,83.421741,0.774244,0.056486,0.000000,0.817393,0.048322,0.000000,0.015467,0.065519,0.658666,0.777068,37554484,20655,0,2211,67845,11410236,5427766,45944215,427446,49733,142947,1035500,17323260,6984928
25,0.000035,0.059907,0.075737,0.044077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.758650,45.291943,43.755491,93.201024,6.194265,14.992740,0.484239,37.627176,80.149280,84.394876,92.601564,7.279947,8.566513,0.666523,34.469648,79.144583,83.559660,0.774429,0.057426,0.000000,0.815566,0.022180,0.000000,0.032739,0.075337,0.670759,0.773081,37814373,9228,0,4664,76476,12281977,5208382,46365780,416059,38975,142458,1015115,18310575,6737178
26,0.000035,0.066327,0.089596,0.043058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.754806,42.259641,43.903928,91.998385,3.773727,5.859190,5.634332,27.504095,78.360437,82.687318,92.626047,7.490253,9.121047,0.703378,34.544435,79.161089,83.681247,0.770770,0.063998,0.004077,0.818326,0.034102,0.004077,0.070862,0.075551,0.643357,0.777753,38116811,14532,235,12810,75199,11423335,5259616,46579031,426137,57635,180774,995341,17755829,6762575
27,0.000034,0.064234,0.082067,0.046401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.771156,45.998608,44.021666,92.791929,9.684555,19.334182,0.208718,34.914213,80.015046,85.041615,92.670908,7.481158,9.557431,0.711269,34.700167,79.266828,83.763900,0.787431,0.086065,0.000000,0.830062,0.054452,0.000000,0.086358,0.100005,0.682969,0.784728,38191165,23921,0,16405,99225,12706809,5198994,46010011,439305,63400,189964,992198,18605255,6625216
28,0.000033,0.060918,0.078391,0.043444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.759078,43.880209,44.225374,93.106158,2.876285,10.325473,2.723984,33.281874,80.017639,84.830050,92.720445,7.669405,10.141540,0.727500,35.114247,79.332418,83.872066,0.778074,0.077732,0.001373,0.820890,0.060692,0.001373,0.056285,0.087721,0.683260,0.779342,36423718,29098,122,10142,105680,13755308,5519044,44371017,479437,88838,180190,1204735,20131891,7081670
29,0.000033,0.060138,0.072656,0.047621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.760485,45.788212,44.327100,92.466626,10.713484,16.802040,3.567389,34.255317,77.808768,84.903859,92.748518,7.775888,10.444406,0.749434,35.183039,79.391965,83.996448,0.779691,0.102104,0.004218,0.826333,0.040954,0.004218,0.084976,0.126681,0.662546,0.780142,37788320,18842,237,18022,163738,12081274,5357610,45730110,460076,56184,212083,1292522,18234622,6867479
30,0.000032,0.059654,0.075972,0.043335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.774885,45.708691,44.450092,92.990145,12.902565,11.160704,2.216717,36.379310,79.481562,84.829835,92.768014,7.856248,10.917627,0.820333,35.285225,79.397365,84.105837,0.792619,0.092445,0.000000,0.832269,0.057870,0.000000,0.068307,0.113058,0.698601,0.791466,37056641,28265,0,11060,114054,13059578,5359502,44524829,488421,76155,161915,1008809,18693913,6771616
